date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,3.6481,133485.8571,,,,,,,,0.1771,,,,,,,,,,,0.0,,,,,,,,,,,,311467.0,,,,,,,,,,,,,,,,,,,
1998-01-05,3.6578,317248.8571,,,,,,,,0.1477,,,,,,,,,,,0.0,,,,,,,,,,,,495230.0,,,,,,,48.0,,,,,,,0.88,,,,,
1998-01-06,3.5881,82196.8571,,,,,,,,-0.5283,,,,,,,,,,,0.0,,,,,,,,,,,,260178.0,,,,,,,48.0138,,,,,,,1.06,,,,,
1998-01-07,3.5926,252440.9124,,,,,,,,-0.1534,,,,,,,,,,,0.0,,,,,,,,,,,,579141.0,,,,,,,49.5,,,,,,,1.63,,,,,
1998-01-08,3.5785,226304.8457,,,,,,,,0.08,,,,,,,,,,,0.0,,,,,,,,,,,,428356.0,,,,,,,49.5,,,,,,,0.75,,,,,
1998-01-09,3.4444,-194139.1543,,,,,,,,-1.0,,,,,,,,,,,0.0,,,,,,,,,,,,7912.0,,,,,,,49.4775,,,,,,,1.81,,,,,
1998-01-12,3.5326,315778.9134,,,,,,,,0.48,,,,,,,,,,,0.0,,,,,,,,,,,,785956.0,,,,,,,49.4179,,,59.7778,,,,3.25,,,,,
1998-01-13,3.5741,585822.9134,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,1056000.0,,,,,,,49.2854,,,83.7629,,,,0.75,,,,,
1998-01-14,3.5556,531569.0762,,,,,,,,-0.5814,,,,,,,,,,,0.0,,,,,,,,,,,,933215.0,,,,,,,49.1568,,52.1399,80.0,,,,0.43,,,,,
1998-01-15,3.7407,925449.8636,288914.5855,,,,,,,0.7387,,,,,,,,,,,0.0,,,,,,,,,,,,1410193.0,,,,,,,45.0,,69.6107,95.6522,,,,2.87,,,,,
1998-01-16,3.7778,726123.5478,248125.4169,,,,,,,0.2193,,,,,,,,,,,0.0,,,,,,,,,,,,2041393.0,,,,,,,45.0575,,82.0675,80.0,,,,2.28,,,,,
1998-01-20,3.8615,959306.5123,283076.6623,,,,,,,0.6667,,,,,,,,,,,0.0,,,,,,,,,,,,2560860.0,,,,,,,45.2064,,86.5455,88.1905,,,,2.25,,,,,
1998-01-21,3.8519,1231958.5123,358393.5661,,,,,,,0.635,,,,,,,,,,,0.0,,,,,,,,,,,,2288208.0,,,,,,,45.4327,,85.8094,84.5996,,,,1.5,,,,,
1998-01-22,3.8615,1258777.3037,365157.0453,,,,,,,0.4706,,,,,,,,,,,0.0,,,,,,,,,,,,2673986.0,,,,,,,45.6522,,85.8256,83.0078,,,,1.87,,,,,
1998-01-23,3.88,1289020.9819,344350.8166,,,,,,,-0.4253,,,,,,,,,,,0.0,,,,,,,,,,,,2876386.0,,,,,,,45.9461,,83.7659,77.6978,,,,0.87,,,,,
1998-01-26,3.7822,1037308.9819,224444.3761,,,,,,,-0.6267,,,,,,,,,,,0.0,,,,,,,,,,,,2602786.0,,,,,,,46.2282,,76.0232,22.4,,,,1.5,,,,,
1998-01-27,3.8333,1306938.9819,240779.0708,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,2872416.0,,,,,,,46.4991,,63.974,47.2574,,,,0.87,,,,,
1998-01-28,3.917,1496555.1219,285904.8477,,,,,,,0.44,,,,,,,,,,,0.0,,,,,,,,,,,,3173394.0,,,,,,,46.7592,,53.834,84.3882,,,,2.0,,,,,
1998-01-29,3.8889,1424355.1219,255401.3157,,,,,,,0.1364,,,,,,,,,,,0.0,,,,,,,,,,,,3006194.0,,,,,,,47.0837,,55.7112,68.3544,,,,0.88,,,,,
1998-01-30,3.843,1348503.1219,195569.5693,,,,,,46.37,-0.7126,75.8011,,,,50.2265,,,,,,0.0,,,,,,49.69,49.125,,5.56,,,2930342.0,,7.12,,,,,47.392,50.2265,60.99800000000001,42.1941,,,,0.87,50.1535,,,-16.6061,51.0783
1998-02-02,3.903,1154131.5890000002,91468.4064,,,,100.0,70.0,46.4265,0.1387,93.6768,23.3696,,19.025,50.4611,,,,,,0.0,51.9141,,,,59.8059,49.69,49.375,18.3568,5.282,3.44,2.8649,3285394.0,26.9827,7.7639999999999985,,6.9848,1.0698,61.6848,47.6849,50.3985,63.1724,63.0662,,,,1.87,50.4861,,,-12.1143,51.3129
1998-02-03,3.9259,1087524.1605,19372.9846,,,,100.0,75.0,46.4817,0.1429,89.9047,25.0315,,20.6261,50.7029,,,,,,0.0,51.9624,,,,61.6814,49.75,49.5,17.2524,5.0179,3.62,2.8708,3751646.0,26.2187,7.6258,,7.3309,1.0733,62.5157,48.0488,50.5795,59.7165,63.6364,,,,1.75,50.8106,,,-11.1111,51.5607
1998-02-04,3.917,1046970.8507,-24785.1033,,,,95.0,75.0,46.7103,0.3363,80.7939,23.9363,,20.6261,50.9103,,,,,,0.0,52.0218,,,,62.592,49.75,49.5,16.5745,4.767,4.44,2.8403,3627794.0,25.1886,7.2445,,9.166,1.0917,61.9681,48.4654,50.8015,57.37600000000001,47.1698,,,,1.13,51.1182,,,-12.4444,51.7798
1998-02-05,3.9356,985914.8507,-60023.4935,,,,90.0,75.0,46.965,0.13,83.8306,25.3699,,21.4521,51.1217,,,,,,0.0,52.0966,,,,67.0382,49.815,49.5,15.9893,4.5287,4.63,2.7797,3882194.0,24.72300000000001,7.0023,,9.5464,1.0955,62.6849,48.8528,51.033,56.9486,58.9623,,,,1.0,51.4025,,,-9.6667,52.0015
1998-02-06,3.9304,974912.6414,-72483.2203,,,,85.0,75.0,47.313,-0.5814,76.4033,24.6773,,21.4521,51.3063,,,,,,0.0,52.1651,,,,65.5662,49.815,49.5,15.7378,4.3022,4.75,2.6847,3814609.0,24.3341,6.6522,,9.8323,1.0983,62.3386,49.2131,51.2705,55.1176,46.2857,,,,0.43,51.6599,,,-10.4444,52.1946
1998-02-09,3.9356,1078923.182,-37896.7347,,,1.666,80.0,75.0,48.2312,-0.3243,76.4365,25.1128,,21.4521,51.48,,,,,,0.0,52.309,,,,71.2674,50.41,49.5,15.5168,4.0871,6.63,2.5819,4110639.0,23.9923,6.3196,3.2756,14.2581,1.1426,62.5564,49.5482,51.602,53.08,50.2857,,,,0.37,51.8992,,,-9.6667,52.3717
1998-02-10,4.0,1329196.005,59329.7017,,,1.6183,100.0,100.0,48.9086,0.7699,107.2662,30.3788,,27.8723,51.72,,,,,,0.0,52.5517,,,,81.5038,51.0,50.815,14.8463,3.8828,6.31,2.518,4435706.0,26.3204,6.8836,3.1704,13.2313,1.1323,65.1894,49.8598,51.9175,55.1719,92.0245,100.0,,,1.13,52.1175,,,-1.9608,52.6
1998-02-11,4.0556,1569302.805,170108.1619,,,1.7193,100.0,100.0,49.4956,0.496,153.8802,34.5548,,33.5266,52.0085,,,,,,0.0,52.8745,,,,82.0278,51.375,51.44,14.1352,3.6886,6.5,2.4734,4835884.0,28.3936,7.4094,3.3546,13.4715,1.1347,67.2774,50.2014,52.2425,63.9254,88.8889,100.0,,,1.25,52.3158,,,-3.5112,52.8698
1998-02-12,4.0785,1961692.425,324813.4872,,,1.7405,100.0,95.0,50.3516,0.31,170.0132,36.2194,,34.3362,52.2992,,,,,,0.0,53.2402,,,,83.0629,52.78,51.505,13.5871,3.5042,7.06,2.4274,5292151.0,27.7967,7.1689,3.3792,14.7083,1.1471,68.1097,50.6333,52.5955,77.5108,96.8889,100.0,,,1.0,52.4954,,60.7862,-0.9655,53.1381
1998-02-13,4.0282,1786729.425,302903.4851,,,1.6394,100.0,100.0,50.6347,-0.4933,148.335,28.6633,,34.3362,52.4973,,,,,,0.0,53.3338,,,,79.2948,53.03,52.675,13.1835,3.329,3.88,2.4038,5117188.0,26.9711,6.8105,3.1689,7.6832,1.0768,64.3317,51.083,52.7895,84.6051,66.6667,31.9682,,,0.75,52.6567,,59.8428,-15.2749,53.3081
1998-02-17,3.9815,1193751.425,77728.8038,,,1.5343,100.0,100.0,50.8993,-0.6377,105.514,22.0604,,26.0895,52.6166,,,,,,0.0,53.3539,,,,69.1439,53.06,52.815,14.9498,3.7925,2.75,2.4387,4524210.0,25.5039,6.47,2.9539,5.3922,1.0539,61.0302,51.4877,52.927,81.0015,35.2113,0.0,,,1.38,52.8152,,52.084,-29.8056,53.3996
1998-02-18,4.0785,1385129.425,39438.6338,,,1.4701,95.0,95.0,50.8807,0.6795,119.2113,29.9311,,22.9371,52.8493,,,,,,0.0,53.4422,,,,67.4536,53.06,52.88,15.0152,3.8529,2.93,2.4033,4715588.0,23.9534,6.1465,2.8124,5.6206,1.0562,64.9656,51.8519,53.0735,72.0883,95.7055,55.5883,,,1.56,52.977,,58.4527,-1.5556,53.6027
1998-02-19,4.0926,1602108.8852,89228.0622,,,1.3926,100.0,100.0,50.9079,0.6637,142.312,30.995,,27.2994,53.078,15.6467,,0.5748,,,0.0,53.55,,,0.5503,74.0676,53.155,53.255,14.35,3.6603,3.25,2.3776,5378255.0,25.1269,6.4091,2.6495,6.25,1.0625,65.4975,52.1797,53.236,67.7141,82.1596,63.1022,,,1.13,53.1525,,59.3371,-8.0,53.81
1998-02-20,3.9444,1355194.3852,22921.1181,,,1.2212,100.0,85.0,51.0198,-0.7396,42.2393,12.1304,,7.6126,53.0944,17.2118,,-0.3259,,,0.0,53.5459,1.4004,-0.3346,0.6004,67.7885,53.155,53.255,19.2804,5.2272,1.12,2.614,5000003.0,22.4578,6.0887,2.3148,2.1485,1.0215,56.0652,52.5593,53.292,67.3207,17.3611,0.0,,,2.88,53.32100000000001,,49.1462,-50.1053,53.8113
1998-02-23,4.0,1581238.3852,65634.90299999999,,,1.0837,95.0,85.0,51.1213,0.37,21.9792,16.8568,,7.6126,53.1806,18.9332,,-1.4874,,,0.0,53.5545,1.3049,-0.4073,0.6524,64.2073,53.155,53.255,18.5598,4.9659,1.62,2.5414,5226047.0,21.6184,5.7843,2.0453,3.0928,1.0309,58.4284,52.75,53.37300000000001,61.2474,43.4028,25.0541,,,1.0,53.489,,50.7323,-34.3158,53.8788
1998-02-24,3.9815,1352245.8852,4280.6647,,,1.0104,90.0,85.0,51.5184,-0.38,34.7936,14.6922,,11.9247,53.2348,20.7975,,-1.4401,,,0.0,53.5621,1.1952,-0.4131,0.7062,69.5392,53.5,53.255,17.8573,4.7176,2.69,2.5185,4768062.0,22.6927,5.995,1.9025,5.2683,1.0527,57.3461,52.75,53.5075,48.1818,34.7222,13.5797,,,1.0,53.6565,,46.2854,-39.5789,53.9147
1998-02-25,4.1296,1599264.1058,57388.7588,,,1.0519,100.0,100.0,51.6619,0.939,127.2915,26.2035,,22.4416,53.4744,22.822,,0.2902,,,0.0,53.6913,1.2552,-0.2975,0.762,73.8025,53.815,53.565,16.4603,4.4817,4.0,2.4978,5049425.0,25.9859,7.0753,1.9738,7.7295,1.0773,63.1018,53.0,53.7075,45.8201,95.8466,74.6006,,,2.13,53.82100000000001,,55.8294,-2.8078,54.1282
1998-02-26,4.1578,1880295.1058,163316.592,,,1.148,100.0,100.0,51.6082,0.104,168.5,28.1428,,25.8199,53.7273,24.7072,,-0.9526,,,0.0,53.8072,1.3182,-0.1355,0.8198,74.5852,54.005,54.13,15.7015,4.2576,3.25,2.4682,5517810.0,26.6319,7.2215,2.148,6.146,1.0615,64.0714,53.3456,53.87,54.7933,93.1129,100.0,,,1.25,53.9776,,61.9431,-5.5556,54.359
1998-02-27,4.0556,1272651.1058,-1537.5301,,,1.1047,95.0,90.0,51.7815,-0.6667,103.3364,16.4452,55.4587,21.5832,53.8247,25.8508,,-1.9389,,,0.0,53.8322,1.2425,-0.1194,0.8793,67.2588,54.005,54.13,16.2315,4.4247,2.25,2.5409,4910166.0,25.1665,6.8604,2.0629,4.2857,1.0429,58.2226,53.7401,53.9825,70.932,51.7751,13.0332,,,1.5,54.1145,,52.5377,-36.2222,54.4428
1998-03-02,4.1578,1306158.0844,-58176.7659,22.7368,,1.0659,100.0,100.0,52.0266,0.2674,153.2366,23.7701,55.7213,26.7103,54.0442,26.5018,,0.8706,,,0.0,53.9656,1.2791,-0.1062,0.9408,70.1706,54.41,54.625,14.934,4.2035,4.25,2.5549,5392151.0,25.8193,7.2674,1.9847,8.192,1.0819,61.8851,54.0833,54.195,76.0497,75.1429,67.4911,,,2.25,54.2439,,52.8603,-18.3158,54.6473
1998-03-03,4.2593,1412538.5373,-42210.2396,23.2435,,1.0723,100.0,95.0,51.9451,0.7642,200.2443,30.1676,56.1884,32.8704,54.3734,27.1277,,2.7686,,,0.0,54.1985,1.4025,-0.0555,1.0041,69.61,55.19,55.125,13.837,3.9933,4.81,2.5537,5593514.0,27.3877,7.9041,1.9893,9.1289,1.0913,65.0838,54.4916,54.4355,75.1021,88.2353,100.0,,,2.12,54.3847,,60.5739,-8.6957,54.962
1998-03-04,4.3748,1670065.0912,50099.0829,24.0299,,1.1546,100.0,100.0,51.624,0.9671,237.5503,36.5501,56.8658,38.9719,54.8197,27.7156,,5.0703,,,0.0,54.602,1.6076,0.0532,1.0694,68.9169,55.97,55.815,12.8395,3.7937,6.06,2.5423,5869158.0,29.2378,8.6388,2.1299,11.434,1.1143,68.2751,55.0179,54.7385,77.4405,98.4018,100.0,,,2.13,54.5523,,63.1795,-1.0558,55.4025
1998-03-05,4.3148,1570663.8937,51679.8717,24.8077,,1.2796,100.0,100.0,51.6623,0.0,192.5074,30.0534,57.2932,39.5857,55.1464,28.6419,,2.3236,,,0.0,54.8385,1.6854,0.1717,1.1366,65.7669,56.06,56.0,12.1389,3.604,5.37,2.5878,5445395.0,28.0466,8.3269,2.3496,10.1551,1.1016,65.0267,55.6758,55.007,82.37200000000001,77.7778,67.6859,,,1.62,54.7284,,62.0158,-15.3846,55.7369
1998-03-06,4.4956,1950130.8937,168367.8879,25.8871,,1.4484,100.0,50.0,51.339,0.8555,215.7279,39.2225,58.0944,46.396,55.6744,30.2698,,-0.5433,,,0.0,55.3708,1.9218,0.3,1.2058,66.5386,56.875,56.72,11.1288,3.4238,7.56,2.5705,5824862.0,30.3935,9.3506,2.645,14.2292,1.1423,69.6112,56.2834,55.385,89.1527,100.0,100.0,,,2.56,54.9505,,65.6657,-0.0,56.2781
1998-03-09,4.2407,1628397.3937,98427.9728,26.1652,,1.4324,100.0,55.0,51.6184,-0.875,118.8327,16.5492,58.1497,31.4484,55.8244,30.6292,,2.8276,,,0.0,55.4292,1.8106,0.2371,1.2767,63.2129,56.91,56.75,13.9423,4.6326,4.19,2.938,5395884.0,26.7345,8.883,2.607,7.8967,1.079,58.2746,60.75,55.5945,82.9449,28.1314,0.0,,,4.0,55.2012,,55.2781,-43.75,56.4558
1998-03-10,4.2504,1450212.7937,4173.0919,26.4293,,1.565,95.0,55.0,51.9274,-0.58,80.3096,17.0864,58.2105,31.4484,55.9726,30.187,,4.7626,,,0.0,55.4908,1.7133,0.3127,1.3494,58.8419,56.97,56.75,13.3098,4.401,4.25,2.9155,5757069.0,25.5217,8.4389,2.8375,7.9992,1.08,58.5432,60.75,55.807,69.5522,15.75,2.3691,,,1.5,55.4763,,55.0824,-42.125,56.6258
1998-03-11,4.2963,1489790.1522,-22172.2991,26.8152,,1.6941,90.0,55.0,52.1083,0.3538,83.4375,19.6818,58.3651,34.1477,56.1657,29.2528,,2.006,,,0.0,55.5651,1.6669999999999998,0.3811,1.4238,60.9223,56.97,56.75,12.4684,4.1809,4.0,2.9229,6456269.0,25.3993,8.5169,3.0602,7.4074,1.0741,59.8409,60.75,56.007,47.2136,31.25,13.8159,,,2.12,55.7662,,54.3232,-34.375,56.8347
1998-03-12,4.3519,1582756.3522,-1354.141,27.1819,,1.8896,85.0,55.0,52.1785,0.75,92.9987,22.7604,58.6245,34.1477,56.4118,28.6295,,-1.7077,,,0.0,55.6595,1.6715,0.4894,1.5,59.6436,56.97,56.75,12.0889,3.9719,4.0,2.8264,6581899.0,24.6262,8.0911,3.3998,7.3059,1.0731,61.3802,60.71,56.207,35.1125,50.0,27.3943,,,1.0,56.06399999999999,,55.5803,-25.0,57.0959
1998-03-13,4.3519,1540830.3522,-6054.6089,27.6991,,1.9138,80.0,55.0,52.2535,-0.25,96.0646,22.7604,58.8379,37.5276,56.6345,27.8448,,-5.126,,,0.0,55.7438,1.6561,0.4194,1.5779,57.7253,56.97,56.75,11.7136,3.7733,3.69,2.7702,6581899.0,25.7865,8.3065,3.4295,6.7018,1.067,61.3802,60.6704,56.3915,33.709,50.0,100.0,,,1.0,56.3856,,49.7799,-25.0,57.3381
1998-03-16,4.3244,1540830.3522,-7427.1087,27.8381,,1.8994,75.0,55.0,52.4751,-0.12,68.2605,20.241,58.9447,30.4783,56.8007,26.7472,,-8.6758,,,0.0,55.8248,1.5955,0.3131,1.6575,58.2649,56.97,56.75,13.3048,4.2046,4.0,2.734,6485099.0,24.9705,7.8912,3.3913,7.3556,1.0736,60.1205,60.6312,56.5915,42.8335,57.2519,55.5982,,,1.0,56.7305,,50.8127,-29.625,57.5275
1998-03-17,4.2963,1459831.0722,-33085.8923,27.9701,,1.9803,70.0,55.0,52.8612,-0.63,57.6673,17.6312,58.9581,30.4783,56.9149,25.6151,,-3.8679,,,0.0,55.898,1.4996,0.3022,1.7387,62.1202,56.97,56.75,12.8759,3.9944,4.25,2.7005,6378521.0,24.1656,7.4966,3.5237,7.907,1.0791,58.8156,60.5924,56.804,48.7224,42.7481,0.0,,,1.0,57.0641,,40.9339,-34.375,57.6616
1998-03-18,4.3563,1504918.5389,-26228.8469,27.8761,,1.9851,65.0,55.0,53.0416,0.7067,59.4776,21.4564,59.1072,26.0891,57.0954,25.2522,,1.3681,,,0.0,55.9841,1.472,0.2287,1.8215,61.4406,56.97,56.75,13.4793,4.1747,3.75,2.6577,6438906.0,22.9952,7.1218,3.5187,6.8108,1.0681,60.7282,60.554,56.9915,52.528,65.5,74.5761,,,1.5,57.3613,,51.4758,-24.25,57.8527
1998-03-19,4.3889,1614370.5389,13786.385,27.8709,,1.929,60.0,55.0,53.2096,0.2,70.1066,23.4881,59.3065,27.7717,57.3006,25.1807,,2.0019,,,0.0,56.0874,1.4687,0.1192,1.906,58.172,56.97,56.75,12.93,3.9659,4.0,2.6115,6548358.0,22.8731,7.0157,3.4071,7.2398,1.0724,61.744,60.5159,57.1915,56.8053,87.5,100.0,,,1.25,57.6312,,59.6615,-18.75,58.0678
1998-03-20,4.2504,1444118.5389,-25268.146,27.5075,,1.6879,55.0,55.0,53.8505,-1.0,37.9933,10.68,59.1299,20.6043,57.3082,24.8091,,1.5332,,,0.0,56.1303,1.3002,-0.1504,1.992,59.9408,57.22,56.875,13.9251,4.3876,4.13,2.7683,6378106.0,21.1526,6.6649,2.9758,7.7559,1.0776,55.34,60.4783,57.398,57.1387,0.0,0.0,,,2.37,57.8437,,49.6029,-43.4839,58.0857
1998-03-23,4.3519,1593106.3167,8457.3066,26.9517,,1.5876,50.0,50.0,54.4082,0.4711,41.302,17.2952,59.2179,16.392,57.4455,24.1576,,-0.4897,,,0.0,56.231,1.2626,-0.2531,2.0795,63.8309,57.22,57.125,14.1323,4.5483,4.75,2.7601,6646284.0,19.6738,6.3317,2.7921,8.7963,1.088,58.6476,60.441,57.6355,55.5427,63.6364,51.6489,,,2.25,58.0023,,51.3189,-27.5862,58.2145
1998-03-24,4.38,1545490.3167,6334.6911,26.7925,,1.2749,45.0,45.0,55.1561,0.44,90.9192,19.0458,59.3547,23.7675,57.6059,23.4198,,-0.8862,,,0.0,56.362,1.2491,-0.5193,2.1686,63.7059,57.72,57.25,13.2646,4.3208,5.38,2.7743,7043084.0,21.5358,7.0151,2.235,10.0093,1.1001,59.5229,60.4041,57.9045,48.1457,65.5385,65.3165,,,2.0,58.1472,,50.5531,-23.1429,58.3568
1998-03-25,4.4356,1862041.3167,105611.2402,26.6413,,1.2583,40.0,40.0,55.4212,0.4,122.0302,22.4557,59.6007,23.7675,57.8225,22.72,,0.5288,,,0.0,56.4824,1.2841,-0.4657,2.2592,65.3016,57.72,57.75,12.7496,4.1048,4.13,2.707,7570669.0,20.6997,6.6644,2.1968,7.4081,1.0741,61.2279,60.3675,58.111,55.3446,88.6154,91.9399,,,1.25,58.2762,,53.0076,-14.5,58.545
1998-03-26,4.4859,1989073.967,177042.8317,26.837,,1.3118,100.0,95.0,55.6024,0.4969,182.4506,25.4526,59.9279,30.5554,58.0832,22.1378,,-0.1969,,,0.0,56.6327,1.3512,-0.3454,2.3514,65.2392,57.72,57.94,12.1045,3.8996,4.43,2.6773,7993247.0,22.7564,7.3311,2.2817,7.8924,1.0789,62.7263,56.75,58.3325,65.2575,86.1985,100.0,,59.7932,1.63,58.4012,,54.7368,-8.9342,58.7782
1998-03-27,4.5556,2322849.031,296371.2002,27.251,24.9939,1.3631,100.0,100.0,56.1328,0.29600000000000004,229.5559,29.4216,60.3721,35.1164,58.4086,21.6512,,-0.7698,,,0.0,56.9691,1.4633,-0.2345,2.4452,75.759,58.815,58.505,11.604,3.7046,6.75,2.6119,8844714.0,24.1648,7.7146,2.361,12.3288,1.1233,64.7108,56.7938,58.67,80.5744,92.2131,100.0,,60.3576,1.32,58.5274,0.3837,56.034,-5.6296,59.0799
1998-03-30,4.6341,2397254.1691,341918.8767,28.0221,25.6328,1.3225,100.0,100.0,56.2058,0.5856,252.3947,33.6169,60.9382,42.6732,58.804,21.2343,,1.6128,,,0.0,57.3368,1.619,-0.202,2.5406,75.7654,59.905,59.595,10.9505,3.5193,6.43,2.5839,9279144.0,27.2533,8.7588,2.2766,11.4555,1.1146,66.8084,56.8955,58.9915,85.6632,85.1779,100.0,,61.0795,1.81,58.6552,0.3851,54.2231,-10.0942,59.4503
1998-03-31,4.6948,2620736.3224,400576.4408,28.8588,26.4444,1.3476,100.0,100.0,55.9959,0.2774,229.0784,36.6817,61.565,44.7571,59.2398,20.8774,,2.2096,,,0.0,57.6995,1.788,-0.1061,2.6376,76.9282,60.315,60.25,10.4803,3.3434,5.88,2.5311,9765129.0,27.4622,8.7609,2.3055,10.2261,1.1023,68.3409,57.088,59.2855,88.9344,92.4025,100.0,,61.8658,1.37,58.8115,0.3897,62.19,-5.2857,59.8683
1998-04-01,4.6667,2301951.3224,286725.086,29.6537,27.2307,1.3768,100.0,85.0,55.8198,-0.6667,182.6226,33.6713,62.0257,44.7571,59.5979,20.6168,,2.1959,,,0.0,57.8973,1.8697,-0.0155,2.7361,77.1604,60.315,60.25,10.2272,3.1762,3.94,2.4785,9446344.0,26.799,8.3229,2.3412,6.6712,1.0667,66.8356,57.3544,59.4825,88.1462,82.3529,73.1907,,62.3906,0.75,59.0013,0.3956,57.1093,-10.7143,60.222
1998-04-02,4.7452,2300394.5853,213588.2894,30.7187,28.3029,1.5622,100.0,90.0,55.6542,0.2347,176.8719,37.7003,62.6039,50.953,60.0229,20.5126,,2.1618,,,0.0,58.2877,1.9969,0.1839,2.8363,83.1357,60.655,60.94,9.5385,3.0174,5.81,2.4819,9777929.0,29.3569,9.2867,2.6421,9.9742,1.0997,68.8502,57.6103,59.773,86.7449,76.2222,100.0,,63.0727,2.13,59.2371,0.4035,57.7739,-12.7685,60.658
1998-04-03,4.6852,1561164.5853,-70957.9719,31.7553,28.9602,1.6583,100.0,95.0,55.525,-0.69,139.6989,31.2856,62.9435,51.4514,60.3302,20.4641,164.3257,1.1307,0.2702,59.2518,1.0,58.4068,2.0093,0.2722,2.938,72.9965,60.655,61.0,8.9433,2.8665,2.56,2.5461,9038699.0,27.8995,8.9424,2.7918,4.2182,1.0422,65.6428,57.9862,59.901,79.5725,46.6667,0.0,,63.3969,2.0,59.5172,0.4109,48.6987,-23.5294,60.9891
1998-04-06,4.6022,1363759.1681,-243723.3504,31.981,29.2051,1.6145,95.0,95.0,55.844,-0.9257,82.4788,22.9493,63.0211,36.2679,60.5016,20.4684,241.9821,0.5737,-0.8828,59.2583,1.0,58.666,1.9067,0.1906,3.0411,74.839,60.72,61.065,12.3393,3.9732,4.88,2.6032,8806847.0,26.3832,8.4953,2.7051,8.524,1.0852,61.4746,58.4221,60.145,64.7898,4.0,0.0,,63.3464,1.75,59.8581,0.4157,42.6955,-37.276,61.2014
1998-04-07,4.5652,1262036.3451,-324609.7807,31.7896,29.3024,1.7571,90.0,85.0,56.2066,-0.1062,46.8336,19.3869,62.9859,28.1536,60.6091,20.3808,238.814,-0.9313,-0.8555,59.2909,1.0,58.8281,1.7647,0.2778,3.1456,75.1342,60.72,61.065,14.2642,4.5245,4.25,2.5848,8496180.0,25.4433,8.0705,2.9336,7.4068,1.0741,59.6934,58.8317,60.3575,43.5886,9.5,0.0,,63.1511,1.13,60.2081,0.4173,39.0487,-43.2497,61.3429
1998-04-08,4.5926,1262036.3451,-328189.704,31.7155,29.4487,1.8549,85.0,85.0,56.4957,-0.02,48.8934,21.1661,63.0118,30.3086,60.7416,20.1703,170.8929,-2.2665,0.1583,59.3966,1.0,58.99100000000001,1.6629,0.3152,3.2515,74.1114,60.72,61.125,13.5878,4.2983,4.0,2.5619,8886610.0,25.4065,8.037,3.0879,6.8966,1.069,60.5831,59.2168,60.5575,24.3673,18.75,9.7156,,63.0649,1.5,60.5615,0.4166,37.4025,-39.3939,61.4993
1998-04-09,4.6111,1226587.5451,-311097.954,31.718000000000004,29.7086,1.9922,80.0,45.0,56.6958,0.0,54.242,22.3845,63.0693,31.7643,60.8852,19.9627,169.0553,-2.4732,0.1899,59.6231,1.0,59.1365,1.5841,0.3826,3.3587,74.3505,60.72,61.125,13.0452,4.0834,3.5,2.5244,9063854.0,25.1906,7.8851,3.3098,5.9574,1.0596,61.1923,59.5788,60.7325,16.1852,25.0,25.1932,,63.0393,1.25,60.9131,0.4143,36.0428,-36.3636,61.6605
1998-04-13,4.7407,1437610.3229,-208680.6312,32.0112,29.9247,2.1144,75.0,45.0,56.8274,0.6667,77.5795,30.3199,63.4263,37.5833,61.1819,19.7663,169.72,-3.487,0.1785,59.9326,1.0,59.4672,1.6439,0.4168,3.4674,74.9202,60.72,61.125,12.0597,3.8792,5.25,2.5225,9285839.0,26.5829,8.5509,3.4999,8.9362,1.0894,65.16,59.9191,60.995,25.235,97.8648,100.0,,63.4538,2.43,61.271,0.4131,45.9022,-15.1515,61.9717
1998-04-14,4.7504,1472235.9096,-136794.4369,32.4621,30.2161,2.2796,70.0,45.0,57.0829,-0.04,97.676,30.8726,63.7473,41.0291,61.4626,19.6175,176.2245,-3.1478,0.0658,60.2442,1.0,59.8398,1.6824,0.4785,3.5775,76.7062,60.755,61.125,11.4955,3.6853,5.75,2.5084,9485602.0,27.4914,8.8133,3.7651,9.8493,1.0985,65.4363,60.239,61.2825,44.4461,82.2857,100.0,,63.8087,1.5,61.6182,0.4126,46.4043,-13.5758,62.2702
1998-04-15,4.7593,1641723.4778,-41022.7278,32.8905,30.3833,2.2395,65.0,45.0,57.4899,0.1364,91.1707,31.4012,64.0354,41.0291,61.7281,19.6872,186.0698,-0.6258,-0.1057,60.5398,1.0,60.2517,1.703,0.3425,3.689,77.8664,60.815,61.125,11.1726,3.5010000000000003,6.25,2.447,9726165.0,26.7194,8.3727,3.6825,10.7759,1.1078,65.7006,60.5396,61.595,68.07,85.7143,100.0,,64.1113,0.88,61.9353,0.4124,53.2378,-12.1212,62.5529
