date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,AROONOSC,BBANDS,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,HT_SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACDEXT,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,STOCHF,STOCHRSI,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,8.4247,186326.4068,,,,,,,,0.2357,,,,,,,,,,,0.0,,,,,,,,,,,,230065.0,,,,,,,,,,,,,,,,,,,
1998-01-05,9.23,1110146.0539,,,,,,,,0.6024,,,,,,,,,,,0.0,,,,,,,,,,,,2847554.0,,,,,,,65.62,,,,,,,9.25,,,,,
1998-01-06,8.7964,778386.8872,,,,,,,,-0.3889,,,,,,,,,,,0.0,,,,,,,,,,,,1994459.0,,,,,,,65.7363,,,,,,,4.38,,,,,
1998-01-07,8.5486,1012244.0371,,,,,,,,-0.0982,,,,,,,,,,,0.0,,,,,,,,,,,,1193550.0,,,,,,,65.8514,,,,,,,4.5,,,,,
1998-01-08,8.2699,411304.0371,,,,,,,,-0.2143,,,,,,,,,,,0.0,,,,,,,,,,,,141905.0,,,,,,,65.9654,,,,,,,3.5,,,,,
1998-01-09,7.7594,-83410.07400000001,,,,,,,,-0.8044,,,,,,,,,,,0.0,,,,,,,,,,,,-494156.0,,,,,,,77.25,,,,,,,4.62,,,,,
1998-01-12,8.1299,629439.8251,,,,,,,,0.847,,,,,,,,,,,0.0,,,,,,,,,,,,474848.0,,,,,,,77.0988,,,17.7876,,,,5.75,,,,,
1998-01-13,8.5176,1151357.6713,,,,,,,,0.6095,,,,,,,,,,,0.0,,,,,,,,,,,,1040259.0,,,,,,,76.7694,,,42.338,,,,3.38,,,,,
1998-01-14,8.6267,1768542.9454,,,,,,,,0.2551,,,,,,,,,,,0.0,,,,,,,,,,,,3175778.0,,,,,,,76.4466,,42.3929,67.0533,,,,7.37,,,,,
1998-01-15,8.4247,1030455.1405,322945.2037,,,,,,,-0.0436,,,,,,,,,,,0.0,,,,,,,,,,,,2116622.0,,,,,,,76.1303,,61.0229,73.6775,,,,5.74,,,,,
1998-01-16,8.3628,542420.022,68385.7291,,,,,,,-0.6887,,,,,,,,,,,0.0,,,,,,,,,,,,1550626.0,,,,,,,75.8203,,68.4428,64.5975,,,,3.63,,,,,
1998-01-20,8.9971,1355319.3324,216680.6584,,,,,,,0.7979999999999999,,,,,,,,,,,0.0,,,,,,,,,,,,2447466.0,,,,,,,75.5165,,69.7818,71.0703,,,,5.31,,,,,
1998-01-21,9.0913,1777723.7178,392049.9195,,,,,,,0.6983,,,,,,,,,,,0.0,,,,,,,,,,,,3512401.0,,,,,,,75.2188,,71.5549,78.9969,,,,5.37,,,,,
1998-01-22,8.0382,-787147.1862,-387944.2994,,,,,,,-0.7792,,,,,,,,,,,0.0,,,,,,,,,,,,592466.0,,,,,,,75.0,,70.5204,61.4941,,,,8.88,,,,,
1998-01-23,8.1608,-1295157.2795,-833404.7551,,,,,,,-0.42,,,,,,,,,,,0.0,,,,,,,,,,,,2597769.0,,,,,,,75.0,,58.0146,33.5529,,,,3.0,,,,,
1998-01-26,8.084,-2139206.0398,-1208435.4784,,,,,,,-0.5675,,,,,,,,,,,0.0,,,,,,,,,,,,1236037.0,,,,,,,74.7126,,34.3278,7.9365,,,,3.63,,,,,
1998-01-27,8.3938,-1762790.0703,-1132230.6497,,,,,,,0.4771,,,,,,,,,,,0.0,,,,,,,,,,,,2356730.0,,,,,,,74.4309,,19.5123,17.0476,,,,3.37,,,,,
1998-01-28,8.9587,-569497.8373,-618441.9956,,,,,,,0.9563,,,,,,,,,,,0.0,,,,,,,,,,,,3585821.0,,,,,,,74.1549,,23.5872,45.7776,,,,4.62,,,,,
1998-01-29,8.6564,-668063.384,-383395.4933,,,,,,,-0.28,,,,,,,,,,,0.0,,,,,,,,,,,,3150973.0,,,,,,,73.8844,,42.9617,66.0599,,,,3.31,,,,,
1998-01-30,8.6106,-590303.2239999999,-227644.1011,,,,,,62.6391,0.08,26.061,,,,68.6405,,,,,,0.0,,,,,,68.565,68.94,,15.06,,,2844025.0,,24.23,,,,,73.6193,68.6405,62.88800000000001,76.8265,,,,1.5,68.3633,,,-46.6306,68.6221
1998-02-02,9.2759,12508.19,48570.9275,,,,5.0,-25.0,62.4095,0.6053,150.8928,11.6976,,33.2937,69.2338,,,,,,0.0,69.5978,,,,54.7186,68.75,68.94,15.4362,14.307,6.87,6.4939,3797899.0,30.845,28.5885,,10.1029,1.101,55.8488,60.63,68.984,72.4455,74.45,,,,6.13,68.4762,,,-14.3201,69.2154
1998-02-03,9.401,1577219.4168,655015.1089,,,,0.0,-25.0,62.2243,0.8402,164.3183,13.2677,,33.8939,69.8668,,,,,,0.0,69.6381,,,,52.7436,69.255,68.315,14.7847,13.5916,1.38,6.3428,5465778.0,29.9456,27.5291,,1.8523,1.0185,56.6338,60.78,69.053,78.6268,84.6039,,,,3.88,68.6233,,,-0.7807,69.8722
1998-02-04,9.2139,1375743.9358,779453.2474,,,,95.0,75.0,62.0512,-0.0549,144.2777,10.1845,,33.8939,70.2956,,,,,,0.0,69.6894,,,,51.735,69.255,68.315,14.3733,12.9121,3.37,6.3161,4241427.0,29.1122,26.1526,,4.7465,1.0475,55.0922,61.0844,69.2215,82.8681,89.5503,,,,2.5,68.7965,,,-10.6051,70.3786
1998-02-05,9.37,255786.0463,403150.1349,,,,100.0,85.0,61.8603,-0.6890000000000001,160.0213,12.2818,,38.3617,70.8037,,,,,,0.0,69.8118,,,,57.3514,69.255,69.535,13.719,12.2665,6.63,6.1694,6008700.0,30.7956,27.535,,9.6087,1.0961,56.1409,61.3827,69.553,85.6183,82.7006,,,,4.07,69.0457,,,-15.7777,70.9889
1998-02-06,9.6798,491843.5823,287667.1563,,,,100.0,90.0,61.6944,0.252,163.8267,16.3608,,39.4506,71.5014,,,,,,0.0,70.143,,,,62.0079,70.38,69.875,13.1776,11.6531,11.38,5.8967,7143592.0,30.3492,26.8382,,17.0487,1.1705,58.1804,61.8944,70.122,83.7123,78.88600000000002,,,,3.49,69.4439,,,-5.3542,71.8058
1998-02-09,9.5707,-142806.5716,12338.42,,,1.8795,100.0,95.0,62.6175,-0.6523,140.3273,14.3898,,40.4762,72.0489,,,,,,0.0,70.5863,,,,60.1792,71.505,70.19,12.6868,11.0705,14.62,5.876,5964956.0,29.9408,26.1263,2.6719,23.3434,1.2334,57.1949,62.5835,70.85300000000002,78.9512,75.2671,,,,3.25,69.9592,,,-13.0753,72.4846
1998-02-10,9.7417,203876.4002,8890.4808,,,2.5340000000000003,95.0,95.0,62.9742,0.7059,123.4342,16.7184,,35.6768,72.6757,,,,,,0.0,71.0311,,,,57.1376,71.755,72.125,13.5024,11.767,13.01,5.7545,6551969.0,28.4807,24.82,3.5815,19.8263,1.1983,58.3592,63.4418,71.5035,77.6799,78.8867,89.3629,,,4.25,70.5495,,,-7.3443,73.2253
1998-02-11,9.8024,714198.1842,169046.8477,,,3.5121,90.0,60.0,62.9799,0.7606,121.501,17.5565,,35.6768,73.2894,,,,,,0.0,71.3839,,,,57.7312,72.0,72.125,13.1638,11.1786,10.37,5.5675,7345389.0,27.7663,23.579,4.9515,15.0836,1.1508,58.7783,64.2572,72.02199999999998,77.65,78.7963,89.3629,,,2.13,71.1825,,,-4.1311,73.9507
1998-02-12,9.8024,1141770.0242,355243.0517,,,4.1473,85.0,60.0,63.0207,-0.125,107.9811,17.5565,,35.6768,73.8447,,,,,,0.0,71.6912,,,,55.3504,72.0,72.125,12.8453,10.6197,9.49,5.4156,7345389.0,27.0946,22.4001,5.8214,13.6292,1.1363,58.7783,65.0318,72.4965,80.9115,85.0515,100.0,,,2.0,71.8671,,58.3812,-4.1311,74.6267
1998-02-13,9.5856,705386.488,260270.0962,,,4.2471,80.0,60.0,63.4982,-0.5507,79.824,13.0541,,33.5481,74.1805,,,,,,0.0,71.9122,,,,50.9114,72.0,72.125,13.1276,10.5887,9.37,5.3982,6404437.0,26.3825,21.2801,5.9346,13.7794,1.1378,56.5271,65.7677,72.965,79.0435,73.2827,66.6667,,,2.12,72.6211,,57.4131,-15.6066,75.0908
1998-02-17,9.6166,329158.8129,78047.7999,,,4.4748,75.0,60.0,64.146,-0.4013,78.6558,13.552,,34.7549,74.508,,,,,,0.0,72.1608,,,,53.3843,72.0,72.125,12.864,10.0593,10.12,5.2129,6956472.0,26.5689,20.7761,6.2165,14.9926,1.1499,56.776,66.4669,73.471,73.7642,62.9586,37.0194,,,1.57,73.3865,,57.915,-13.9672,75.5341
1998-02-18,9.8644,672887.6395,105775.3236,,,4.6647,100.0,90.0,64.1316,0.7467,90.1846,17.529,,36.5105,74.9949,,,,,,0.0,72.382,,,,52.4907,72.25,72.125,12.5055,9.5563,7.0,4.9616,7372273.0,26.8883,20.5473,6.4220000000000015,9.6392,1.0964,58.7645,67.131,73.821,67.4303,66.0495,36.8153,,,2.13,74.1188,,58.2257,-0.8525,76.1198
1998-02-19,9.7021,617244.8095,89797.9261,,,4.4633,95.0,90.0,64.1866,-0.595,71.0442,13.9157,,33.022,75.3106,15.6467,,-1.0868,,,0.0,72.497,,,0.7518,49.3762,72.25,72.125,13.1544,9.8285,4.93,4.9277,7079416.0,26.1254,19.5199,6.1037,6.7185,1.0672,56.9579,67.762,74.0675,65.0776,66.2246,43.1941,,,2.12,74.8574,,61.2974,-9.4426,76.5473
1998-02-20,9.6637,769303.7298,123480.6539,,,4.2842,90.0,90.0,65.6614,-0.2331,55.0157,13.05,,29.5374,75.5667,17.2118,,-2.2029,,,0.0,73.0442,2.5931,3.8008,0.8219,55.4872,72.435,72.155,13.892,10.0871,13.12,4.8044,6794524.0,25.5389,18.5439,5.8304,20.2219,1.2022,56.525,68.3614,74.7235,64.5998,61.5253,39.508,,,1.63,75.6085,,59.7079,-11.5207,76.9218
1998-02-23,10.0205,1232471.3433,273405.9511,,,4.394,100.0,95.0,67.0022,0.5399,97.1024,19.0652,,35.7284,76.0728,18.9332,,-2.5207,,,0.0,73.9246,2.6429,4.0801,0.895,62.609,73.065,72.78,13.313,9.5827,15.01,4.5871,7337663.0,28.1144,20.2367,5.9448,22.7873,1.2279,59.5326,68.9308,75.47399999999998,63.3032,62.1598,39.7121,,,3.0,76.2868,,61.6737,-0.7299,77.5081
1998-02-24,10.6077,1994418.739,552321.7484,,,4.5488,100.0,100.0,68.2885,0.7326,179.9063,27.7271,,46.3682,76.982,20.8267,,-0.2573,,,0.0,75.7174,2.7716,4.3039999999999985,0.9712,70.6022,76.685,76.31,12.2821,9.1036,20.37,4.4517,8975412.0,33.5194,24.8449,6.0983,31.2184,1.3122,63.8636,69.6549,76.4925,66.6407,76.2371,66.6667,,,5.74,76.9298,,63.9581,-4.8497,78.4744
1998-02-25,11.4056,1592897.059,488455.6993,,,4.765,100.0,100.0,67.9829,0.1323,304.2855,37.3209,,56.3554,78.418,22.9095,,2.4467,,,0.0,78.5683,3.0394,4.4432,1.0508,72.911,80.78,81.125,10.9758,8.6484,24.31,4.3884,11046754.0,39.3206,30.9826,6.3083,35.8819,1.3588,68.6604,70.8425,77.708,76.7766,91.9328,100.0,,,8.38,77.5858,,69.5917,-7.534,79.957
1998-02-26,11.8157,1822629.6766,491020.3576,,,5.4,100.0,100.0,66.7853,0.5478,284.839,41.5207,,59.6955,80.0325,25.2005,,2.6954,,,0.0,81.3917,3.4262,4.5824,1.1339,75.2901,82.435,82.84,10.2809,8.216000000000001,23.06,4.2896,13449633.0,40.7351,32.5535,7.0671,31.8905,1.3189,70.7604,72.6951,78.861,86.0601,90.0103,100.0,,,5.06,78.2906,,71.7456,-6.1275,81.6391
1998-02-27,11.5691,2398982.12,630816.19,,,5.8599,95.0,90.0,67.1412,0.6509,186.7095,35.7637,88.6289,53.284,81.3037,27.504,,8.3315,,,0.0,83.51299999999998,3.8278,4.7616,1.2205,72.9462,82.435,82.84,11.8319,9.4252,23.51,4.3622,12564222.0,38.8226,30.9258,7.5926,33.6482,1.3365,67.8819,74.8933,80.0365,89.4357,86.36399999999998,91.4542,,,3.74,79.0632,,68.5305,-13.0952,83.0219
1998-03-02,11.1578,1490617.8454,341633.4714,39.4995,,5.8031,90.0,90.0,68.4173,-0.8169,130.1938,26.7115,89.5197,44.7858,82.1376,28.6749,,18.7472,,,0.0,84.3356,4.1559,4.9092,1.3101,68.8588,84.87,84.31,13.9968,11.2039,20.56,4.5395,11245434.0,36.7031,29.3795,7.4259,29.5827,1.2958,63.3558,76.8937,81.0645,83.3203,73.5866,58.1209,,,4.37,79.867,,64.4159,-27.5566,83.9765
1998-03-03,11.1962,2538904.1061,525819.4902,39.579,,5.7983,85.0,85.0,68.9092,0.6809,97.117,27.1887,90.31,41.0897,82.9217,30.1766,,23.6431,,,0.0,84.9248,4.4162,5.0352,1.4029,61.4153,84.87,84.62,14.824000000000002,11.6537,15.5,4.4399,13129417.0,35.5033,27.9105,7.3313,20.7026,1.207,63.5944,78.7141,81.8395,70.2289,50.736,25.8616,,,2.57,80.7152,,64.4438,-27.0,84.8628
1998-03-04,11.3672,2880978.5291,662208.4061,39.772,,5.9774,80.0,80.0,69.3208,0.7212,96.5531,29.3443,91.2079,43.4373,83.7625,30.4591,,20.4922,,,0.0,85.60600000000002,4.6323,5.2034,1.4988,60.032,84.87,85.25,14.2295,11.071,15.87,4.3245,13788227.0,36.0846,28.075,7.4616,20.9146,1.2091,64.6722,80.3706,82.633,53.875,37.3024,7.0001,,,3.12,81.6486,,64.1969,-22.6201,85.8066
1998-03-05,10.7477,2055727.4757,395223.2269,39.3577,,6.0075,75.0,75.0,70.3906,-0.145,44.3629,16.2215,91.0408,31.4868,84.04700000000003,31.6725,,-3.4901,,,0.0,85.6742,4.7191,5.3949,1.5975,57.5669,85.5,86.06,17.4453,13.8975,12.38,4.6765,11857729.0,33.48,26.6713,7.4313,16.6465,1.1665,58.1107,81.8781,83.25200000000002,37.2531,23.721,7.0001,,,5.75,82.6248,,55.1496,-46.8807,86.1987
1998-03-06,11.3362,3099457.7362,582168.6249,39.2863,,6.2594,70.0,70.0,71.2047,0.6513,73.9515,23.9384,91.7267,37.929,84.7568,33.5324,,-28.8194,,,0.0,86.12100000000002,4.7853,5.6022,1.6993,58.3798,86.31,86.185,16.1896,13.2026,15.87,4.5328,13751625.0,35.9751,29.3377,7.6729,20.9837,1.2098,61.9692,83.2499,84.0455,33.5938,39.7579,25.5279,,,5.87,83.6879,,55.978,-25.6973,86.9842
1998-03-09,11.0575,2508925.2711,417825.1739,39.2184,,6.4257,65.0,55.0,71.8709,-0.218,61.8012,18.4961,91.878,37.929,85.1847,33.966,,-36.9279,,,0.0,86.2645,4.7883,5.8107,1.8039,54.2321,86.31,86.185,15.5013,12.5425,11.12,4.6074,12958097.0,34.4456,27.8708,7.8054,14.2327,1.1423,59.2481,84.4982,84.6015,35.5751,43.2463,25.3797,,,3.44,84.8055,,51.1586,-35.9854,87.4799
1998-03-10,11.0575,3025465.7711,476963.4508,39.0548,,6.6036,60.0,55.0,72.7862,0.0,45.3645,18.4961,91.978,35.946,85.5719,33.4976,,-20.2137,,,0.0,86.4214,4.7406,6.015,1.9113,53.4822,86.37,86.185,15.9314,12.4754,12.0,4.4577,12958097.0,33.8122,26.4773,7.9482,15.534,1.1553,59.2481,85.6341,85.2015,46.4631,56.385,31.1575,,,1.44,85.9312,,51.1991,-35.9854,87.9226
1998-03-11,10.9955,3248823.8894,528864.5608,38.8087,,6.7256,55.0,55.0,73.5833,-0.2959,35.9668,17.2286,91.9444,34.1337,85.8746,32.5917,,-9.5776,,,0.0,86.5205,4.6449,6.1623,2.0215,51.8026,86.37,86.935,16.2347,12.3516,10.12,4.3539,11740435.0,33.0611,25.1534,8.0433,12.8704,1.1287,58.6143,86.6679,85.7075,48.7358,46.576,15.906,,,1.69,86.9506,,55.2491,-41.0898,88.2606
1998-03-12,11.4143,3659372.1472,632647.2277,38.8642,,6.6431,50.0,20.0,74.3216,0.3911,68.1758,23.0831,92.5011,39.9177,86.4703,31.5862,,-2.689,,,0.0,86.8311,4.5674,6.2493,2.1345,52.9371,86.37,86.935,15.3592,11.734000000000002,13.01,4.2081,12940089.0,35.7679,27.3257,7.8857,16.4434,1.1644,61.5416,87.6086,86.35799999999998,53.9328,58.8374,39.2125,,,4.12,87.8185,,56.9898,-24.4968,88.8722
1998-03-13,11.9098,4041510.7749,739179.9523,39.234,,6.1453,100.0,75.0,74.9365,0.6154,108.4596,29.3116,93.6791,46.2609,87.3903,30.4793,,8.6195,,,0.0,87.5085,4.5589,6.2873,2.2505,54.3644,86.75,87.0,14.347,11.1473,17.01,4.0976,14169743.0,39.0481,30.3395,7.2231,21.499,1.215,64.6558,87.75,87.2085,59.0966,71.8764,66.768,,,5.12,88.5637,,57.9537,-5.4634,89.8029
1998-03-16,12.1415,4569014.6579,883405.4886,39.644,,5.5041,100.0,80.0,75.9812,0.0638,122.8037,32.0205,95.0048,47.4346,88.4007,29.2791,,4.0072,,,0.0,88.5364,4.6134,6.2546,2.3696,57.5798,87.81,87.44,13.9686,10.5899,20.63,3.9205,14781908.0,39.1788,29.7025,6.4046,26.6641,1.2666,66.0102,88.7,88.24,73.8864,90.9453,95.751,,,2.0,89.2515,,65.2966,-0.608,90.8307
1998-03-17,11.9408,4590888.3755,869057.0736,39.8004,,5.0522,95.0,80.0,77.4539,-0.2366,104.7256,27.5627,95.8233,42.7722,89.1607,27.9837,,3.2727,,,0.0,89.1711,4.6682,6.1518,2.4916,55.6078,88.0,87.44,15.0762,11.3104,18.76,3.9427,14372557.0,37.6121,28.2174,5.8312,24.169,1.2417,63.7814,89.7373,89.178,84.2849,90.0329,89.9544,,,3.0,89.8785,,60.4927,-8.1852,91.6059
1998-03-18,11.7537,4627764.8084,795915.4895,39.7298,,4.7753,90.0,80.0,78.8348,-0.1959,79.2206,23.4721,96.2245,38.3868,89.7044,26.6789,,8.0448,,,0.0,89.5133,4.6856,6.0149,2.6164,53.8993,88.0,87.44,16.163,11.9349,15.25,3.9406,13975111.0,36.303,26.8065,5.4688,19.1535,1.1915,61.7361,90.6605,89.9405,86.8238,79.4932,58.0719,,,2.57,90.4179,,63.4386,-15.2479,92.148
1998-03-19,11.5221,4131060.0584,535595.5583,39.4689,,4.4418,85.0,80.0,80.8772,-0.875,53.9339,18.5178,96.2014,34.5127,90.0183,25.446,,10.17,,,0.0,89.7083,4.6382,5.813,2.7438,52.9095,88.0,87.44,17.1556,12.3982,14.69,3.9329,13312838.0,35.2381,25.4662,5.0549,18.7588,1.1876,59.2589,91.4821,90.675,72.5508,48.1262,24.7385,,,2.12,90.9039,,59.4754,-23.9944,92.4394
1998-03-20,11.4601,4052445.2584,355396.7357,38.9952,,3.9897,80.0,80.0,83.4987,-0.424,30.4891,17.1943,96.0627,29.9953,90.2546,24.3197,,8.6136,,,0.0,89.8607,4.534,5.5423,2.8739,52.5555,89.44,88.75,18.3096,13.0283,14.5,3.8916,12919764.0,34.0,24.1929,4.5139,18.5897,1.1859,58.5971,98.13,91.4,51.0199,25.4403,1.4508,,,2.5,91.3223,,59.0513,-30.0107,92.6132
1998-03-23,11.2891,3950056.8424,216792.1091,38.4102,,3.8923,75.0,75.0,85.6459,-0.504,-15.1327,13.5115,95.6665,27.2953,90.337,23.3276,,-1.3602,,,0.0,89.905,4.3674,5.2410000000000005,3.0064,51.0062,91.81,90.505,18.929,13.1269,10.24,3.849,12668812.0,33.142,22.9832,4.3809,12.6607,1.1266,56.7558,98.0637,91.912,27.3128,8.3718,0.0,,,1.75,91.6349,,53.3288,-45.9672,92.5865
1998-03-24,11.8008,4268171.0647,241600.0044,38.191,,3.5171,70.0,70.0,86.6798,0.6089,69.4687,21.3022,96.0502,34.0264,90.8049,22.4661,,-9.9765,,,0.0,90.0814,4.2263,4.8845,3.1415,48.56,92.375,92.065,17.749000000000006,12.4705,9.63,3.7279,13077816.0,36.0574,25.3341,3.9282,11.2474,1.1125,60.6511,97.9174,92.3935,23.545,36.8229,26.0716,,,4.38,91.926,,55.7803,-23.7428,92.9044
1998-03-25,11.7389,4147327.5483,191334.8423,38.104,,3.3166,65.0,35.0,86.726,-0.4837,72.1677,19.9255,96.2663,36.4506,91.1807,21.6892,,-12.1162,,,0.0,90.1296,4.0911,4.5149,3.2792,44.5208,92.375,92.065,16.8959,11.847,2.69,3.7381,12609721.0,36.2783,25.4374,3.6772,2.922,1.0292,59.9628,97.7741,92.528,32.9255,53.5817,53.5147,,,3.37,92.2386,,52.8173,-27.8648,93.1289
1998-03-26,11.6459,4147327.5483,153377.7449,37.9983,,3.1594,60.0,35.0,86.762,0.0,45.979,17.8144,96.2934,35.9899,91.4492,20.9958,,-8.0751,,,0.0,90.1574,3.9452,4.1832,3.4194,35.6936,92.375,92.065,16.732,11.3746,-1.37,3.6524,12083206.0,35.5472,24.1655,3.4815,-1.4365,0.9856,58.9072,97.6336,92.4595,53.2976,69.488,71.925,,95.2055,1.37,92.5984,,51.9282,-34.0478,93.269
1998-03-27,11.584,4306353.8283,174505.681,37.6087,38.5541,2.971,55.0,35.0,86.7639,-0.125,19.3903,16.3767,96.2041,30.2052,91.6445,20.4533,,-2.2971,,,0.0,90.1721,3.7834,3.9017,3.5619,36.9726,92.375,92.065,18.449,12.3059,0.12,3.6017,11826712.0,34.4174,22.9572,3.2529,0.1285,1.0013,58.1884,97.4959,92.4655,59.1787,54.4662,58.1124,,94.9622,2.12,92.9636,0.757,56.0648,-38.1698,93.3681
1998-03-30,11.3982,4255746.7631,151182.5267,37.0479,38.3135,2.4217,50.0,35.0,86.9628,-0.2717,-8.7757,12.0585,95.8343,26.3945,91.6784,20.0612,,3.2034,,,0.0,90.1888,3.5875,3.6094,3.7068,39.2446,92.375,92.065,19.2063,12.7006,1.94,3.6274,11547361.0,32.9809,21.8094,2.636,2.1541,1.0215,56.0292,97.361,92.5625,54.3039,38.9575,30.6693,,94.3456,2.76,93.2494,0.731,57.0839,-50.5359,93.3238
1998-03-31,11.4527,4168195.3231,100040.0939,36.5153,38.1436,1.6696,45.0,35.0,87.1564,0.2933,1.3571,13.0546,95.5767,26.3945,91.7509,19.7348,,6.4773,,,0.0,90.2101,3.3794,3.2643,3.8539,44.902,92.375,92.065,18.7584,12.0656,2.07,3.5107,11759179.0,32.2117,20.7189,1.8085,2.2906,1.0229,56.5273,97.2288,92.666,41.13399999999999,29.9782,16.4797,,93.931,1.5,93.4271,0.7034,56.7349,-46.9085,93.3121
1998-04-01,11.5456,4512570.8946,179597.681,35.7767,37.5672,0.9776,40.0,35.0,87.2405,0.4048,-2.858,14.7865,95.4734,21.743,91.8879,19.3959,,2.3867,,,0.0,90.2331,3.1788,2.8794,4.0033,40.8181,92.375,92.065,19.7554,12.6523,1.44,3.4661,12315478.0,30.7331,19.6829,1.0556,1.5695,1.0157,57.3933,97.0992,92.738,34.9194,35.8224,20.0193,,93.767,2.94,93.5349,0.6756,60.7339,-40.7255,93.362
1998-04-02,11.3672,4186704.8205,92132.2448,35.075,37.1806,0.6037,35.0,35.0,88.1926,-0.6173,-28.9414,10.3443,95.1069,21.743,91.8748,19.0406,,-1.4767,,,0.0,90.2691,2.9632,2.5032,4.1549,44.8852,93.375,92.88,19.2215,12.0197,5.0,3.4366,11844136.0,29.9025,18.6988,0.6519,5.7637,1.0576,55.1721,96.9722,92.988,35.1838,39.7509,20.0193,,93.2433,1.69,93.603,0.6462,51.005,-60.7619,93.268
1998-04-03,11.1194,4843999.4617,257114.4754,33.6746,36.4465,0.3931,30.0,-70.0,87.9387,0.0954,-130.3728,4.4354,94.4136,7.0674,91.6724,18.7212,255.2592,-2.6012,-0.9671,92.6222,0.0,90.2641,2.7108,2.1144,4.3085,33.5975,93.375,92.815,24.2219,15.4187,-1.75,3.5743,10928119.0,27.906,17.7639,0.4256,-1.9126,0.9809,52.2177,96.8478,92.9005,39.534,43.0287,15.7985,,92.2833,4.25,93.5893,0.6138,52.0907,-78.8335,92.9596
1998-04-06,11.0265,4307480.0617,130522.4447,32.6058,35.8303,0.2283,25.0,-70.0,87.8883,-0.7013,-106.932,2.2736,93.6678,12.2978,91.4179,18.4826,262.469,-2.8055,-0.9914,92.527,1.0,90.2579,2.4305,1.749,4.464,40.1995,93.375,92.815,22.8076,14.6478,-0.25,3.6348,10033920.0,29.2039,18.7557,0.2476,-0.2801,0.9972,51.1368,96.5673,92.888,37.662,30.2063,0.0,,91.2958,3.75,93.5472,0.5788,47.4666,-85.889,92.5881
1998-04-07,10.7006,3631076.1249,-148350.3154,31.2669,35.0378,-0.1406,20.0,-80.0,87.1975,-0.7918,-183.4254,-4.9864,92.5378,5.8281,90.9372,18.3272,278.0453,-0.2348,-0.9902,92.4515,1.0,90.2032,2.0998,1.3648,4.6213,42.239,92.185,92.22,24.8899,15.8554,-2.88,3.714,9325933.0,27.9707,17.8179,-0.1528,-3.2269,0.9677,47.5068,96.2953,92.744,31.1679,20.2688,0.0,,89.8043,2.69,93.4074,0.5396,40.9961,-99.4924,91.9673
1998-04-08,10.8567,3738069.97,-214904.7379,29.9949,34.4295,-0.3261,15.0,-80.0,86.9616,-0.1127,-168.0939,-1.3579,91.7854,5.8281,90.6222,18.2462,284.8314,0.241,-0.9667,92.3272,1.0,90.1845,1.7702,0.9776,4.7803,49.3419,92.185,92.22,24.0437,15.0626,-1.12,3.5991,9910284.0,27.0197,16.927,-0.3546,-1.262,0.9874,49.32100000000001,95.8959,92.688,21.735,14.7299,7.8893,,88.9165,2.13,93.1483,0.4993,42.9179,-88.8325,91.4803
1998-04-09,10.972,3770932.7526,-212138.4129,28.8822,34.0581,-0.7609,10.0,-80.0,86.5087,0.0435,-119.8031,1.2925,91.3005,7.7406,90.4258,18.1932,298.802,-2.1630000000000003,-0.8763,92.2,1.0,90.1548,1.4695,0.5629,4.9412,44.4297,92.185,92.22,23.4526,14.3095,-3.57,3.4679,10099245.0,27.3879,16.7106,-0.8285,-3.875,0.9613,50.6463,95.5125,92.5095,18.3032,19.9109,30.1034,,88.4439,1.5,92.7852,0.4598,45.0086,-80.9645,91.0871
1998-04-13,10.9261,3829135.6043,-173202.335,27.6483,33.6462,-1.3629,5.0,-80.0,86.0719,-0.3574,-114.4505,0.1953,90.8116,4.2046,90.2129,18.1344,312.6837,-2.6734,-0.7351,92.1043,1.0,90.0382,1.1932,0.1424,5.1039,34.4973,92.185,92.22,24.085,14.594,-7.94,3.4574,9486951.0,26.1992,15.8751,-1.4832,-8.2596,0.9174,50.0976,95.1444,92.1125,21.7655,30.6556,53.8945,,87.9774,2.63,92.3568,0.4211,42.9163,-84.0948,90.6758
1998-04-14,11.2891,3990038.1395,-90332.0115,26.8569,33.3287,-1.5883,0.0,-80.0,86.3574,0.6432,-26.7767,8.461,90.9192,11.8205,90.2993,18.1713,-32.4028,-1.7924,-0.5359,92.0779,1.0,90.0876,0.9909,-0.2196,5.2684,33.867,91.375,91.965,22.6341,13.8643,-6.88,3.3814,10048791.0,28.7023,17.5813,-1.7287,-7.0204,0.9298,54.2305,94.791,91.7685,34.5154,52.9797,79.3385,,88.3739,3.69,91.9444,0.3866,47.6489,-57.4713,90.5812
