date,Share Price,AD,ADOSC,ADX,ADXR,APO,AROON,Aroon Down,AROONOSC,BBANDS,Real Upper Band,Real Middle Band,BOP,CCI,CMO,DEMA,DX,EMA,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,PHASE,HT_SINE,LEAD SINE,HT_TRENDLINE,HT_TRENDMODE,KAMA,MACD,MACD_Hist,MACD,MACDEXT,MACD_Hist,MACD,MAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MINUS_DM,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,STOCH,SlowK,STOCHF,FastK,STOCHRSI,FastK,T3,TEMA,TRANGE,TRIMA,TRIX,ULTSOC,WILLR,WMA
1998-01-02,15.6936,-203330.2817,,,,,,,,,,,-0.615,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,687450.0,,,,,,,,,,,,,,,,,,,,,,
1998-01-05,15.9055,738184.4242,,,,,,,,,,,0.3613,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1754500.0,,,,,,,59.25,,,,,,,,,,1.19,,,,,
1998-01-06,15.9395,1265818.3528,,,,,,,,,,,0.4464,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2345450.0,,,,,,,59.2663,,,,,,,,,,1.12,,,,,
1998-01-07,15.7276,1182236.2099,,,,,,,,,,,-0.5536,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1565350.0,,,,,,,59.301,,,,,,,,,,1.31,,,,,
1998-01-08,15.6622,1330244.1645,,,,,,,,,,,-0.1364,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1064400.0,,,,,,,61.0,,,,,,,,,,0.88,,,,,
1998-01-09,15.351,606316.5645,,,,,,,,,,,-0.896,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,150350.0,,,,,,,60.9831,,,,,,,,,,1.32,,,,,
1998-01-12,15.6779,1481116.5645,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1025150.0,,,,,,,60.9346,,,,34.6971,69.186,,,,,2.38,,,,,
1998-01-13,15.7276,2358614.2917,,,,,,,,,,,0.1477,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2041200.0,,,,,,,60.8334,,,,51.6927,80.5643,,,,,0.88,,,,,
1998-01-14,15.6936,2808497.8795,,,,,,,,,,,-0.0458,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1545950.0,,,,,,,60.7352,,55.7439,80.842,80.842,92.7757,,,,,1.38,,,,,
1998-01-15,15.4818,2432697.5299,813562.9329,,,,,,,,,,-0.6084,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,882500.0,,,,,,,60.6399,,70.0241,77.5376,77.5376,59.2727,,,,,1.43,,,,,
1998-01-16,15.5628,2599622.0582,741622.4149,,,,,,,,,,0.4151,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1865500.0,,,,,,,60.5475,,77.5258,74.1979,74.1979,70.5455,,,,,1.06,,,,,
1998-01-20,16.0206,3640522.0582,975967.438,,,,,,,,,,0.9434,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2906400.0,,,,,,,57.56,,76.1139,76.6061,76.6061,100.0,,,,,1.75,,,,,
1998-01-21,15.9709,3939802.7248,1078337.2106,,,,,,,,,,-0.2533,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2299750.0,,,,,,,57.5969,,79.4842,87.6485,87.6485,92.4,,,,,0.75,,,,,
1998-01-22,15.9552,3204715.1248,788293.5894,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1486600.0,,,,,,,57.6334,,83.2458,85.4828,85.4828,64.0483,,,,,1.25,,,,,
1998-01-23,15.8401,2874268.9063,492834.3485,,,,,,,,,,-0.3697,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,916700.0,,,,,,,57.7246,,80.733,69.0679,69.0679,50.7553,,,,,1.19,,,,,
1998-01-26,15.8401,2967956.7112,356971.2926,,,,,,,,,,-0.2317,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,916700.0,,,,,,,57.8139,,66.8811,46.0926,46.0926,23.4742,,,,,0.82,,,,,
1998-01-27,15.8584,2972464.3112,270373.2522,,,,,,,,,,-0.144,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,1480150.0,,,,,,,57.9014,,49.8309,34.3322,34.3322,28.7671,,,,,1.25,,,,,
1998-01-28,15.7747,3066807.493,240385.6797,,,,,,,,,,-0.3636,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,788300.0,,,,,,,57.9872,,34.9471,24.4166,24.4166,21.0084,,,,,0.88,,,,,
1998-01-29,15.6779,2380771.8998,-12019.2596,,,,,,,,,,-0.3136,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,24600.0,,,,,,,58.0712,,25.9682,19.1559,19.1559,7.6923,,,,,1.18,,,,,
1998-01-30,15.6439,1661208.8563,-343135.0432,,,,,,,58.942,61.491,60.2165,-0.3623,-22.9279,,,,60.2165,,,,,,,,0.0,,,,,,,,,,59.97,59.875,,4.08,,,-846450.0,,3.61,,,,,58.1536,60.2165,18.1576,10.9002,10.9002,4.0,,,,,0.69,60.1823,,,-51.4039,60.262
1998-02-02,16.086,2529808.8563,-171024.678,,,,65.0,30.0,35.0,58.9051,61.6779,60.2915,1.0,92.5651,13.7615,,7.3337,60.3387,,,,,,,,0.0,59.8467,,,,,,,,54.6021,60.095,59.875,16.6606,3.876,1.5,1.9837,22150.0,19.2976,4.4895,,2.5,1.025,56.8807,58.2343,60.2915,22.429,37.2308,37.2308,100.0,,,,,1.69,60.2451,,,-14.9028,60.3842
1998-02-03,16.2664,2903381.8652,33795.9449,,,,100.0,25.0,75.0,58.7573,61.9637,60.3605,0.4956,181.6319,19.1489,,16.5717,60.515,,,,,,,,0.0,59.8937,,,,,,,,53.0713,60.44,59.97,15.8502,3.6822,1.38,1.9545,585000.0,22.147,5.145,,2.2694,1.0227,59.5745,58.3134,60.3605,37.9076,65.5919,65.5919,92.7757,,,,,1.13,60.321,,,-3.9419,60.565
1998-02-04,16.167,2617957.7273,23697.07,,,,100.0,20.0,80.0,58.6965,62.1115,60.404,-0.5057,158.9287,14.9847,,17.7487,60.6384,,,,,,,,0.0,59.9177,,,,,,,,52.7685,60.44,60.03,15.2491,3.4981,0.87,1.9386,98100.0,21.8302,5.0078,,1.4276,1.0143,57.4924,58.4354,60.404,64.017,89.2283,89.2283,74.9091,,,,,0.87,60.3997,,,-13.9676,60.703
1998-02-05,16.0363,2607501.0901,14084.3211,,,,95.0,15.0,80.0,58.7163,62.2097,60.463,-0.4425,83.4374,9.6757,,6.1849,60.7023,,,,,,,,0.0,59.9416,,,,,,,,51.2715,60.44,60.03,18.3363,4.2032,1.18,1.9488,-1083500.0,20.754,4.7574,,1.9624,1.0196,54.8378,58.598,60.463,76.5414,74.804,74.804,56.7273,,,,,1.13,60.4802,,,-24.0891,60.7893
1998-02-06,15.9552,2707554.2816,40706.5465,,,,90.0,10.0,80.0,58.7789,62.2591,60.519,-0.3298,44.2318,6.4674,,2.4538,60.7307,,,,,,,,0.0,59.9586,,,,,,,,51.1641,60.44,60.03,18.9422,4.303,1.12,1.9378,-1606000.0,19.8952,4.5195,,1.8704,1.0187,53.2337,58.7541,60.519,74.0535,58.1282,58.1282,42.7481,,,,,0.94,60.5567,,,-30.3644,60.8405
1998-02-09,15.8898,2848718.7743,92812.8367,,,0.3684,85.0,5.0,80.0,59.0965,62.1475,60.622,-0.3623,14.0969,3.8877,,0.889,60.7325,,,,,,,,0.0,59.9874,,,,,,,,52.4945,60.69,60.03,18.9391,4.2179,2.06,1.9053,-2118650.0,19.2788,4.2935,0.609,3.51,1.0351,51.9439,58.9039,60.622,57.5959,39.8556,39.8556,20.0913,,,,,0.69,60.6288,,,-35.4251,60.8625
1998-02-10,15.8087,2625729.2682,34740.3092,,,0.3415,80.0,0.0,80.0,59.1509,62.1431,60.647,-0.4568,-9.3115,0.7029,,0.5864,60.7047,,,,,,,,0.0,59.9918,,,,,,,,47.4935,60.69,60.625,18.787,4.127,0.5,1.8863,-2701300.0,18.568,4.0789,0.5643,0.8342,1.0083,50.3514,59.0478,60.647,40.8459,24.554,24.554,10.8225,0.0,0.0,,,0.81,60.6822,,,-54.9333,60.8451
1998-02-11,15.8898,3101240.6318,159124.2265,,,0.3596,75.0,5.0,70.0,59.2005,62.1555,60.678,0.0,-9.3545,3.8071,,2.217,60.709,,,,,,,,0.0,60.0003,,,,,,,,46.8687,60.69,60.625,18.6246,4.0506,0.62,1.8553,-1864400.0,17.8167,3.8749,0.5943,1.0311,1.0103,51.9035,59.1859,60.678,29.1172,22.942,22.942,37.9121,11.5319,34.5956,,,0.88,60.7333,,,-46.6667,60.855
1998-02-12,15.8741,3519387.1835,328589.3476,,,0.3742,70.0,0.0,70.0,59.2681,62.1569,60.7125,0.2184,-35.6238,3.1501,,4.5001,60.7072,,,,,,,,0.0,60.0088,,,,,,,,46.8798,60.69,60.69,18.708,4.0281,0.69,1.8359,-2349450.0,17.0968,3.6812,0.6186,1.15,1.0115,51.575,59.3184,60.7125,27.2469,34.2449,34.2449,54.0,25.6828,42.4526,,,0.87,60.7895,,57.1461,-50.0,60.8561
1998-02-13,15.793,3783790.5449,452172.5714,,,0.3704,65.0,5.0,60.0,59.495,62.049,60.772,-0.0504,-80.5158,-0.2822,,9.2108,60.676,,,,,,,,0.0,60.017,,,,,,,,47.225,60.845,60.69,19.4351,4.2067,1.19,1.8516,-2901450.0,16.1568,3.4971,0.6122,2.0105,1.0201,49.8589,59.4457,60.772,35.7933,50.1929,50.1929,58.6667,25.6828,0.0,,,1.19,60.8515,,61.9397,-58.5635,60.8244
1998-02-17,15.8401,3979505.7449,523895.7656,,,0.396,60.0,0.0,60.0,59.6827,61.9673,60.825,-0.056,-57.1288,1.7167,,4.7728,60.665,,,,,,,,0.0,60.0279,,,,,,,,53.1133,61.0,61.0,18.3213,3.9964,1.06,1.857,-2240250.0,16.6521,3.6323,0.6541,1.7815,1.0178,50.8583,59.5,60.825,48.5163,61.1111,61.1111,70.6667,30.4444,48.8805,,,1.25,60.8994,,63.6438,-64.6667,60.8042
1998-02-18,16.0206,4244655.7449,589976.0936,,,0.4175,55.0,90.0,-35.0,59.6827,61.9673,60.825,0.69,46.1321,9.033,,1.9892,60.7207,,,,,,,,0.0,60.033,,,,,,,,51.2871,61.0,61.0,17.4779,3.7965,0.0,1.8259,-1709950.0,18.1873,3.9506,0.6885,0.0,1.0,54.5165,59.5,60.825,61.1939,72.2778,72.2778,87.5,49.6268,100.0,,,1.0,60.9205,,65.4761,-41.6667,60.8447
1998-02-19,15.7276,3601955.7449,358879.3102,,,0.296,50.0,85.0,-35.0,59.603,61.954,60.7785,-0.6084,-27.4617,-3.2702,,2.8927,60.6644,15.6467,,0.4933,-0.4681,,,,0.0,60.0347,,,,,,,11.5667,46.5256,61.0,61.0,18.022,3.9767,-0.93,1.8859,-2352650.0,17.0087,3.7531,0.4882,-1.5231,0.9848,48.3649,59.62,60.7785,65.4351,62.9164,62.9164,30.5825,49.6268,0.0,,,1.43,60.9177,,57.3372,-79.0,60.7785
1998-02-20,15.8741,4002290.5663,359093.5865,,,0.1495,45.0,80.0,-35.0,59.5914,61.9346,60.763,0.0536,-36.6212,2.5191,,6.0898,60.6669,17.2118,,0.4924,-0.1876,,,,0.0,60.0395,0.2287,-0.099,0.1297,0.3415,-0.192,0.1495,12.0579,40.0503,61.0,61.0,18.2401,4.0279,-0.31,1.8673,-1455900.0,16.146,3.5655,0.2464,-0.5082,0.9949,51.2595,59.7352,60.763,64.6036,58.6165,58.6165,57.767,49.0184,47.0553,,,1.12,60.9025,,61.4811,-60.3333,60.7701
1998-02-23,15.9552,3878095.164,287019.6546,,,0.0435,40.0,75.0,-35.0,59.613,61.957,60.785,0.2874,54.8697,5.6027,,1.5527,60.6986,18.8674,,0.1916,-0.1631,,,,0.0,60.0483,0.2121,-0.0664,0.1457,0.3054,-0.2618,0.0435,12.5474,43.7917,61.0,61.0,17.5138,3.8265,0.44,1.8362,-1023700.0,18.0662,3.9472,0.0717,0.7266,1.0073,52.8013,59.8458,60.785,58.001,52.4701,52.4701,69.0608,39.7247,72.1188,,,0.87,60.8845,,56.4212,-50.0,60.7927
1998-02-24,15.6779,3479845.164,104726.2593,,,-0.0995,35.0,70.0,-35.0,59.5282,61.9798,60.754,-0.8,-87.2911,-5.1919,,10.5586,60.6263,20.431,,0.6036,-0.1445,,,,0.0,60.0471,0.1841,-0.1121,0.072,0.2564,-0.3559,-0.0995,13.0213,43.0259,61.0,61.0,21.0059,4.6352,-0.62,1.8846,-1687450.0,16.9937,3.7498,-0.1638,-1.0238,0.9898,47.404,62.5,60.754,52.6063,46.7322,46.7322,13.369,39.7247,0.0,,,1.31,60.8552,,48.8138,-85.3333,60.7122
1998-02-25,15.9238,3574289.6084,50681.6245,,,-0.1626,30.0,65.0,-35.0,59.541,61.992,60.7665,0.4792,11.1307,3.971,,3.2967,60.6505,21.8406,,0.3568,0.2782,,,,0.0,60.0523,0.165,-0.0765,0.0884,0.1983,-0.3609,-0.1626,13.4999,43.5286,61.0,61.0,19.5509,4.4034,0.25,1.8908,-1007450.0,18.303,4.1223,-0.2674,0.4123,1.0041,51.9855,62.4719,60.7665,49.297,48.6887,48.6887,63.6364,52.3343,84.884,,,1.56,60.8281,,48.6503,-54.0,60.7242
1998-02-26,16.167,4160339.6084,210435.4899,,,-0.0958,25.0,60.0,-35.0,59.5548,62.1282,60.8415,0.58,80.4485,11.9578,,0.5112,60.7609,23.0904,,-0.7686,0.0497,,,,0.0,60.0897,0.1669,0.0076,0.1744,0.1461,-0.2419,-0.0958,13.983,48.2778,61.0,61.0,18.2701,4.1832,1.5,1.8906,-421400.0,18.4578,4.2262,-0.1575,2.4871,1.0249,55.9789,62.4441,60.8415,51.4742,59.0018,59.0018,100.0,61.628,100.0,,,1.5,60.8124,,54.3046,-23.0,60.8236
1998-02-27,15.9709,3678319.2381,103288.727,,,-0.0441,20.0,55.0,-35.0,59.6768,62.1182,60.8975,-0.9259,69.0656,4.5745,60.9331,0.5112,60.7894,24.1525,,0.3019,-0.2712,,,,0.0,60.1044,0.1695,0.0105,0.18,0.1001,-0.1442,-0.0441,14.4537,43.1956,61.0,61.0,17.6142,3.9741,1.12,1.8844,-987250.0,17.7952,4.0149,-0.0725,1.8685,1.0187,52.2872,62.4165,60.8975,61.2589,76.0863,76.0863,64.6226,80.6106,56.9479,,,0.81,60.796,,49.3874,-48.0,60.8444
1998-03-02,16.1854,4398069.2381,279077.4397,5.2434,,0.0162,15.0,50.0,-35.0,59.8162,62.1858,61.001,0.947,83.6402,11.3061,61.1173,4.9966,60.8933,25.0176,,0.3055,0.2528,,,,0.0,60.1539,0.1851,0.0626,0.2478,0.0579,-0.0417,0.0162,14.928,49.2327,61.065,61.0,18.5261,4.2154,2.07,1.8732,-267500.0,16.7628,3.8142,0.0267,3.461,1.0346,55.653,62.3893,61.001,74.4319,88.2075,88.2075,100.0,84.3826,96.2,,,1.32,60.7865,,59.4638,-20.6667,60.938
1998-03-03,16.2507,4754809.5606,439128.6121,4.9882,,0.0758,10.0,45.0,-35.0,59.7657,62.2993,61.0325,0.5161,146.1345,13.2696,61.3203,0.1394,61.0111,25.6928,,-0.2569,-0.2073,,,,0.0,60.1736,0.2117,0.1063,0.318,0.0199,0.0559,0.0758,15.4,48.1256,61.065,61.0,18.0095,4.0046,0.63,1.8222,314550.0,17.9594,3.9935,0.1245,1.0244,1.0102,56.6348,62.3623,61.0325,83.5583,86.3811,86.3811,94.5205,84.3826,100.0,,,0.62,60.786,,60.0948,-12.3333,61.0455
1998-03-04,16.3161,5354117.253,655372.12,5.128,,0.1725,100.0,40.0,60.0,59.7383,62.3457,61.042,0.3205,141.8904,15.2446,61.5392,7.7853,61.1414,26.2561,,2.3548,-0.0875,,,,0.0,60.1863,0.2472,0.1421,0.3893,0.0062,0.1663,0.1725,15.8698,42.872,61.16,61.03,19.5483,4.4344,0.19,1.8492,1093650.0,16.7243,3.7938,0.2829,0.3055,1.0031,57.6223,59.69,61.042,90.0318,95.5068,95.5068,92.0,98.7333,100.0,,,1.56,60.8044,,65.38,-5.8824,61.1738
1998-03-05,16.0206,4848915.253,523509.9987,5.2609,,0.2062,95.0,35.0,60.0,59.7541,62.2739,61.014,-0.448,93.5737,3.9787,61.521,7.7853,61.1518,26.567,,1.9562,1.1583,,,,0.0,60.1959,0.2679,0.0827,0.3506,0.0125,0.1937,0.2062,16.3236,38.6265,61.16,61.03,18.4766,4.2127,-0.56,1.8912,468400.0,15.8074,3.6041,0.338,-0.906,0.9909,51.9894,59.7187,61.014,85.1871,73.6735,73.6735,34.5,66.6667,0.0,,,1.25,60.8415,,63.1333,-42.8105,61.1936
1998-03-06,16.494,5089710.4657,498591.2441,5.3851,,0.2512,100.0,30.0,70.0,59.56,62.643,61.1015,0.6968,222.7627,17.5659,61.832,7.7441,61.3335,27.3047,,0.1917,1.0426,,,,0.0,60.2602,0.3064,0.1542,0.4607,0.0356,0.2157,0.2512,16.791,45.4037,61.5,61.565,16.6473,4.002,1.75,1.9338,1080150.0,19.4421,4.6739,0.4112,2.8543,1.0285,58.7829,59.7471,61.1015,79.4971,69.3111,69.3111,81.4332,66.6667,100.0,,,2.38,60.9154,,65.6273,-13.8015,61.3885
1998-03-09,16.494,4815042.5412,355676.3918,5.6016,,0.3754,100.0,25.0,75.0,59.4441,62.9649,61.2045,0.0,211.7191,17.5659,62.0977,9.7158,61.4979,28.7494,,0.5505,1.0651,,,,0.0,60.3388,0.3535,0.1882,0.5416,0.0883,0.2871,0.3754,17.2537,50.2412,61.5,61.655,15.9089,3.8019,2.06,1.9211,1080150.0,19.333,4.6202,0.6132,3.377,1.0338,58.7829,59.8248,61.2045,68.6885,63.0809,63.0809,73.3096,66.6667,100.0,,,1.06,61.0136,,59.3344,-17.4014,61.575
1998-03-10,16.7399,5290127.1566,416040.2943,6.0426,,0.4901,100.0,20.0,80.0,59.2421,63.4919,61.367,0.6272,201.7502,23.7728,62.4945,14.422,61.7362,29.0273,,0.0118,1.3118,,,,0.0,60.5132,0.4176,0.2563,0.6739,0.1608,0.3292,0.4901,17.7211,54.9664,61.97,61.875,14.8067,3.6118,3.25,1.9303,1754850.0,19.7973,4.8292,0.7984,5.3498,1.0535,61.8864,59.9443,61.367,71.5807,82.3502,82.3502,92.3077,100.0,100.0,,,1.69,61.1488,,64.8746,-5.2632,61.8412
1998-03-11,16.84,5459427.1566,456780.9549,6.6208,,0.6551,100.0,15.0,85.0,59.1367,63.9783,61.5575,0.4731,196.901,25.3464,62.8783,17.6072,61.9756,28.5689,,-1.2201,1.1238,,,,0.0,60.7385,0.492,0.2978,0.7898,0.2443,0.4109,0.6551,18.1864,59.3333,62.095,62.03,14.2354,3.4312,3.81,1.899,2262750.0,20.3196,4.8977,1.0655,6.3038,1.063,62.6732,60.1166,61.5575,76.9859,85.5265,85.5265,90.9621,100.0,100.0,,,0.93,61.322,,64.0531,-6.1265,62.1158
1998-03-12,16.5937,4749742.2453,206113.212,6.8604,,0.8929,100.0,10.0,90.0,59.1798,64.1912,61.6855,-0.4083,142.1805,15.8783,63.0344,11.4118,62.1027,27.741,,-0.2134,0.4174,,,,0.0,60.8222,0.5529,0.2437,0.7966,0.3484,0.5445,0.8929,18.6377,52.6935,62.095,62.19,15.0465,3.6997,2.56,1.9643,1435600.0,18.923,4.6528,1.4511,4.214,1.0421,57.9392,60.3387,61.6855,81.86,77.7033,77.7033,49.8403,66.6667,0.0,,,1.69,61.5048,,56.3724,-29.1822,62.2827
1998-03-13,17.5294,5921516.7551,457667.0965,8.0219,,1.1979,100.0,5.0,95.0,58.6643,65.3257,61.995,0.9412,219.385,35.389,63.8123,30.09,62.5577,27.2768,,2.2819,0.8484,,,,0.0,61.3186,0.6579,0.4198,1.0776,0.4797,0.7182,1.1979,19.1201,59.2811,63.41,63.25,12.9938,3.5147,6.19,2.0424,2707100.0,24.1792,6.5402,1.9407,10.1994,1.102,67.6945,60.6112,61.995,80.8655,79.3666,79.3666,97.2973,66.6667,100.0,,,3.69,61.7309,,63.429,-1.6,62.7774
1998-03-16,17.6263,6512646.4162,707056.1144,9.2351,,1.4228,100.0,0.0,100.0,58.3859,66.2911,62.3385,0.2119,210.7533,36.9836,64.544,32.2875,63.0046,27.5849,,1.5854,1.81,,,,0.0,61.8876,0.7893,0.5258,1.3151,0.6293,0.7934,1.4228,19.6014,63.7209,63.595,63.5,12.4234,3.339,6.87,2.0173,3365150.0,24.2711,6.5232,2.2965,11.3779,1.1138,68.4918,61.0584,62.3385,79.676,81.9581,81.9581,98.7368,66.6667,100.0,,,1.18,62.0025,,69.5007,-0.7874,63.2779
1998-03-17,17.2987,6155486.8162,631159.375,10.0911,,1.6421,95.0,25.0,70.0,58.442,66.779,62.6105,-0.6,149.7378,25.9315,64.9408,26.3535,63.2899,28.7223,,1.6031,1.8678,,,,0.0,62.1387,0.9087,0.4777,1.3864,0.7926,0.8495,1.6421,20.0654,58.5244,63.595,63.5,13.3321,3.612,5.44,2.0709,2656500.0,22.8735,6.197,2.6424,8.9828,1.0898,62.9658,61.5585,62.6105,83.1347,88.0793,88.0793,68.2039,82.5446,47.6337,,,1.56,62.2955,,64.1006,-17.1916,63.6266
1998-03-18,17.6421,6601715.6505,684714.4857,11.1581,,1.8423,100.0,20.0,80.0,58.3249,67.5021,62.9135,0.8037,152.2668,31.9851,65.5128,31.4308,63.6727,28.8084,,0.6072,2.4696,,,,0.0,62.4913,1.0332,0.4978,1.531,0.9744,0.8679,1.8423,20.5378,59.3251,63.625,63.66,12.538,3.4314,6.06,2.0502,3391200.0,24.0324,6.5772,2.9525,9.8939,1.0989,65.9926,62.0187,62.9135,85.5384,86.5778,86.5778,92.7928,74.6501,76.3167,,,1.63,62.6192,,66.8509,-4.0302,64.0742
1998-03-19,18.2161,7546415.6505,944962.9868,12.7352,,2.108,100.0,15.0,85.0,58.1566,68.6074,63.382,0.8229,183.8653,40.5373,66.3947,42.7001,64.2277,29.8226,,0.7505,1.5634,,,,0.0,63.3594,1.1868,0.6147,1.8015,1.1807,0.9273,2.108,21.0274,64.8516,64.72,64.595,11.564,3.2598,9.37,2.0439,4335900.0,28.799,8.1183,3.3596,15.5829,1.1558,70.2686,62.5237,63.382,87.2187,86.9989,86.9989,100.0,74.6501,100.0,,,2.19,63.0075,,70.5164,-0.0,64.7015
1998-03-20,18.1663,7002475.3144,792450.6316,14.4193,,2.3563,100.0,10.0,90.0,58.1438,69.4822,63.813,-0.6891,170.1949,38.9418,67.1103,46.4179,64.7117,31.5542,,5.853,2.7363,,,,0.0,64.0233,1.345,0.6327,1.9778,1.4008,0.9555,2.3563,21.5103,71.2514,64.72,64.97,11.072,3.0968,8.62,2.0328,3397800.0,30.2552,8.4624,3.7357,14.2033,1.142,69.4709,63.2213,63.813,88.101,90.7263,90.7263,79.386,88.4644,89.0764,,,1.19,63.4425,,66.6682,-8.9015,65.266
1998-03-23,18.4284,7231370.7132,730848.6011,16.1224,,2.7413,100.0,5.0,95.0,58.1033,70.4537,64.2785,0.7239,153.4131,42.5549,67.8974,48.4821,65.2449,32.8451,,1.2209,4.8757,,,,0.0,64.7739,1.5106,0.6625,2.1731,1.651,1.0903,2.7413,21.9983,71.3658,65.125,65.19,10.432,2.942,9.31,2.0196,3826650.0,30.0667,8.4793,4.3207,15.2623,1.1526,71.2774,63.9945,64.2785,89.4402,90.5953,90.5953,92.4,96.3588,100.0,,,1.63,63.9219,,72.0545,-3.4545,65.8848
1998-03-24,18.3628,7622868.8264,763774.5701,17.7404,,2.9523,95.0,0.0,95.0,58.4576,71.1114,64.7845,-0.2358,127.7169,40.369,68.5183,48.4821,65.7035,34.6692,,-3.008,3.0852,,,,0.0,65.5488,1.6648,0.6166,2.2814,1.9062,1.0461,2.9523,22.4789,70.4519,65.595,65.375,10.035,2.7949,10.12,2.0011,3085600.0,28.9224,8.0553,4.6262,16.8836,1.1688,70.1845,64.7979,64.7845,89.1464,86.1177,86.1177,86.5672,89.4654,79.3198,,,1.06,64.4376,,67.6719,-5.9266,66.4354
1998-03-25,18.1663,7530668.2346,678473.6809,18.8117,,3.1366,90.0,0.0,90.0,58.8526,71.5594,65.206,-0.4083,101.8115,33.8861,68.9044,39.1663,66.047,35.0557,,3.0847,2.7618,,,,0.0,65.9644,1.7879,0.4925,2.2805,2.1555,0.9811,3.1366,22.9472,64.8836,65.685,65.5,11.8838,3.3452,8.43,2.0436,2265500.0,27.1859,7.6526,4.8892,13.8469,1.1385,66.9431,65.505,65.206,84.6853,77.3428,77.3428,53.0612,59.7733,0.0,,,1.69,64.9625,,64.099,-13.2948,66.8664
1998-03-26,18.2973,8078453.6329,756193.791,19.8294,,3.2915,85.0,0.0,85.0,59.1516,72.0604,65.606,0.6637,93.558,35.9616,69.3149,39.1663,66.4053,34.534,,2.6918,4.3807,,,,0.0,66.3696,1.8891,0.4046,2.2936,2.3881,0.9034,3.2915,23.4158,65.1622,65.685,65.625,11.402,3.1779,8.0,2.0084,2890750.0,26.0837,7.2699,5.1045,12.9429,1.1294,67.9808,66.1272,65.606,76.5217,66.1046,66.1046,58.6854,34.4207,23.9424,,70.2926,1.13,65.5157,,69.8322,-8.6871,67.3049
1998-03-27,17.8229,7495640.6329,533802.9915,20.0907,12.667,3.3013,80.0,5.0,75.0,59.7732,72.1328,65.953,-0.78,62.7263,21.4351,69.3271,25.0549,66.5572,33.5458,,-0.7697,4.4687,,,,0.0,66.4956,1.9379,0.1955,2.1334,2.5969,0.7045,3.3013,23.8617,63.2506,65.78,65.625,14.4428,4.139,6.94,2.1191,1965650.0,24.0996,6.9064,5.0958,11.3659,1.1137,60.7176,66.6747,65.953,61.5756,41.2794,41.2794,12.0915,7.9808,0.0,,70.0853,2.18,66.0655,0.344,61.7147,-26.5548,67.5329
1998-03-30,17.5608,7115569.0352,273365.5204,19.8248,12.4065,3.3662,75.0,0.0,75.0,60.3074,72.1106,66.209,-0.6686,32.1793,14.3311,69.1436,14.7733,66.5994,33.0481,,-2.8394,4.3494,,,,0.0,66.5201,1.9311,-0.0273,1.9038,2.7884,0.5777,3.3662,24.2931,58.9457,65.78,65.845,16.8496,4.8721,5.12,2.1693,1365350.0,22.691,6.5611,5.1764,8.2741,1.0827,57.1655,70.69,66.209,44.6103,26.4468,26.4468,8.5635,7.9808,0.0,,69.6255,1.69,66.5602,0.3514,51.5111,-38.0805,67.6326
1998-03-31,17.8386,7505200.2507,265945.0763,19.5723,12.3502,3.1929,70.0,5.0,65.0,60.8632,72.1478,66.5055,0.7901,36.223,19.5804,69.1663,14.7733,66.7385,32.2105,,-8.0006,3.3078,,,,0.0,66.6074,1.9022,-0.1155,1.7867,2.9385,0.2545,3.1929,24.7307,59.3386,65.78,65.845,15.8079,4.6284,5.93,2.1617,2037000.0,21.2883,6.2331,4.8896,9.5445,1.0954,59.7902,70.65,66.5055,29.2596,20.0526,20.0526,39.5028,8.0894,24.2683,,69.4969,1.81,67.0247,0.3561,56.8385,-27.1414,67.8089
